Comment,Sentiment
Jo inhone dress dali hui hai uska link bhi dedo @myntra,0.0
Myntra make you fool don't buy anything . I request you to all. ğŸ˜¡ğŸ˜¡Bad customer service,0.0
"Hello Husband 
Kiara â¤",0.0
Siddarth malhotra ğŸ˜ğŸ˜ğŸ¥³ğŸ¥³ğŸ˜˜ğŸ˜˜ğŸ’œğŸ’ğŸ’œ,0.0
"Be aware Myntra fraud with customer
https://youtu.be/Xelogr10dZs?si=RUKM6SRPTrX4RzYA",0.25
Sidkiara â¤â¤â¤give truly couple goals â¤â¤.,0.0
Worst online shopping platform. Takes 99rs convenience fee if I shop under 1200. Cheap.,-0.3
"Itni tym barbad krne ke bad do item select kiye to pta chla sirf MRP 499 hai uspe convince fee + other tax mila ke 620 ka ho rha hai, chutiya bna rhe hai sab",-0.4124999999999999
"Koi discount nhi hai, convince fee ke nam 100rs aur COD ke nam pe 15rs isko mila ke, 500 wala item 620 ka mil rha hai",0.0
Myntra is worst for online shoping it does not help customer and make fool with bad delivery of product..,-0.8499999999999999
"I am Happy That Myntra Took Siddarth Malhotra In The Advertisement Instead Of That Ranbir Kapoor, who disrespected Gau Mata/Mother Goddess Cow.",0.33333333333333337
Price difference for ios and android users ..,0.0
"Student of the year to ye nhi tha, Varun Dhawan bana tha !!!ğŸ™„",0.0
0:01,0.0
"Diwali nhi funeral ka ad lgra h 
Black Black Diwali p bhi black... Ye ek time tha jha Myntra kisi Indian craft ko showcase kr skta tha. But ye to sari bhi nhi seedha bandar jaise outfit lekar agye that too on Diwali. 
Shame on you guys for not being responsible at all",-0.075
Ye Diwali m black kapde kabse hogye??? This is the worst styling by Myntra on this auspicious festival of Diwali,-0.5833333333333334
Nice,0.6
In Love with sidharth â¤â¤â¤,0.5
Fun fact: We searched this,0.3
"It is a cheat company,  I have purchased a kurti and received a old used article,  but Mintra denied to receive   last of all I have taken shelter before Consumer forum. ğŸ˜ŠğŸ˜Š",0.05
"Dont use Myntra, i bought a watch for 22k and i got a stone instead, the worst part is they won't even help me, i just lost 22k for a rock but i'm going to take legal actions and hopefully get my money back",-0.26666666666666666
CheepdiğŸ˜‚,0.0
"I had placed a request for exchange of an item. The exchange item was not delivered to me as the app ""claims"" to have delivered. When enquired about it with customer service they requested me to wait for 48 hours. And guess what? It's my 4th 48 hour of wait ongoing for same item. When asked for refund they say it's not in ""their power"" to refund. The so called higher ups are reluctant to even talk to their customers. Let me ask Myntra. What kind of scam is this?? Is this the way you treat your customers?? Keep them on hold for almost an hour and at the end of it tell them to wait for 48 bloody hours??? We work day and night to earn our livelihood and Myntra being a renowned company we put our faiths into it. Looking forward for good deals and good customer service. I've been using Myntra for quite a while now but this time I'm utterly disappointed. You just lost a loyal subscriber Myntra.",0.12916666666666662
Disappointed in myntra's customer service,-0.75
"You should work on your app which doesn't work most of the time rather than hiring celebrities, hire a computer expert n app developer.",0.5
"While I always skip ad, I can never in my life skip this lovely ad..â¤â¤",0.5
https://youtu.be/M-UnFnwDWdA?si=XiHlvECR8dFMqcnG,0.0
Hello wifey â¤,0.0
https://youtube.com/shorts/zQV2juwH9nI?si=zxqJvsuMpuPQ-9Wt,0.0
When is the sale date,0.0
When will sale start??,0.0
"â¤,sidkiaraâ¤ï¸ğŸ‘‘ğŸ˜­",0.0
â¤,0.0
Idhr add nhi sidkiara ko dekhne aaya M,0.0
ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚,0.0
0:04  hot,0.25
Hum ko ta en dono ads bhi mn karta hai dekhti rahu,0.0
I love this jodi yrrâ¤ğŸ˜ğŸ˜50 time's dekh chuki hoon is ad koâ¤,0.5
Sorry but Why is this ad so cringe.,-0.5
First time i searched for an ad heheğŸ˜…â¤,0.25
Isn't anyone bothered about them wearing all black and promoting Indian festivals?,-0.16666666666666666
Skip  adğŸ˜‘,0.0
Had to search to find this ad ğŸ˜‚,0.0
Lol... can't skip it yrr â£ï¸ğŸ˜‚,0.8
Love this beautiful couple â¤â¤,0.675
People skips ad but  i am here after watching insta reel to watch it  ğŸ˜‚â¤,0.0
Hello wifey Hello husband ğŸ¥ºNooooo I can't ğŸ˜«ğŸ˜«â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸,0.0
ğŸ˜ğŸ˜ğŸ˜,0.0
#SidKiara Op ğŸ¼ğŸ¤ğŸŒš,0.0
